Action,Entry Step,Exit Step,Entry Price,Exit Price,ATR,TP Mult,SL Mult,Trade Return (%),Trade Type
0.199,0,2,129.670,129.138,0.753,2.000,1.000,-0.410,SL hit
0.179,3,9,128.820,130.457,1.193,2.000,1.000,1.271,TP hit
0.183,10,21,130.540,132.884,1.106,2.000,1.000,1.796,TP hit
0.190,22,23,133.540,132.412,1.145,2.000,1.000,-0.845,SL hit
0.179,24,30,132.350,131.084,1.551,2.000,1.000,-0.957,SL hit
0.178,31,37,130.420,128.889,1.458,2.000,1.000,-1.174,SL hit
0.173,38,46,128.240,126.847,1.195,2.000,1.000,-1.086,SL hit
0.171,47,51,126.820,125.595,1.246,2.000,1.000,-0.966,SL hit
0.174,52,79,125.210,127.550,1.478,2.000,1.000,1.869,TP hit
0.168,80,85,127.830,125.976,2.410,2.000,1.000,-1.451,SL hit
0.167,86,89,125.150,130.039,2.342,2.000,1.000,3.906,TP hit
0.176,90,104,132.450,130.153,1.132,2.000,1.000,-1.734,SL hit
0.174,105,109,129.640,132.133,1.344,2.000,1.000,1.923,TP hit
0.177,110,126,133.130,131.778,1.315,2.000,1.000,-1.016,SL hit
0.178,127,130,131.230,133.891,1.381,2.000,1.000,2.028,TP hit
0.176,131,136,134.890,133.471,1.484,2.000,1.000,-1.052,SL hit
0.172,137,198,132.810,135.590,0.977,2.000,1.000,2.093,TP hit
0.183,199,224,137.790,139.817,0.861,2.000,1.000,1.471,TP hit
0.182,225,225,139.980,139.134,0.846,2.000,1.000,-0.604,SL hit
0.181,226,227,138.950,138.128,0.826,2.000,1.000,-0.592,SL hit
0.177,228,239,137.970,139.574,0.694,2.000,1.000,1.163,TP hit
0.173,240,244,139.620,141.116,0.783,2.000,1.000,1.071,TP hit
0.186,245,255,141.200,140.416,0.701,2.000,1.000,-0.555,SL hit
0.177,256,259,139.890,139.180,0.874,2.000,1.000,-0.508,SL hit
0.177,260,264,139.090,138.163,0.980,2.000,1.000,-0.667,SL hit
0.170,265,273,137.030,136.068,0.911,2.000,1.000,-0.702,SL hit
0.167,274,282,135.940,137.650,0.798,2.000,1.000,1.258,TP hit
0.165,283,284,137.860,137.081,0.759,2.000,1.000,-0.565,SL hit
0.164,285,290,137.040,139.026,1.349,2.000,1.000,1.449,TP hit
0.180,291,296,141.290,139.939,1.426,2.000,1.000,-0.956,SL hit
0.174,297,317,139.360,137.956,1.269,2.000,1.000,-1.008,SL hit
0.173,318,323,137.190,135.801,1.482,2.000,1.000,-1.013,SL hit
0.175,324,341,135.560,138.531,1.176,2.000,1.000,2.192,TP hit
0.172,342,363,139.110,141.407,1.206,2.000,1.000,1.651,TP hit
0.186,364,367,141.450,143.997,1.501,2.000,1.000,1.801,TP hit
0.193,368,381,144.180,147.217,1.447,2.000,1.000,2.106,TP hit
0.189,382,395,147.780,150.754,1.356,2.000,1.000,2.013,TP hit
0.188,396,413,151.520,150.183,1.781,2.000,1.000,-0.882,SL hit
0.173,414,441,150.000,148.197,1.184,2.000,1.000,-1.202,SL hit
0.176,442,450,147.760,146.543,1.025,2.000,1.000,-0.824,SL hit
0.174,451,459,146.360,148.354,1.183,2.000,1.000,1.363,TP hit
0.166,460,467,148.540,150.806,1.437,2.000,1.000,1.525,TP hit
0.185,468,497,151.110,153.954,1.073,2.000,1.000,1.882,TP hit
0.187,498,503,154.860,153.764,1.352,2.000,1.000,-0.708,SL hit
0.177,504,517,152.980,151.596,1.374,2.000,1.000,-0.905,SL hit
0.173,518,549,150.910,149.579,0.862,2.000,1.000,-0.882,SL hit
0.177,550,552,149.560,148.703,0.916,2.000,1.000,-0.573,SL hit
0.170,553,581,148.410,147.490,1.084,2.000,1.000,-0.620,SL hit
0.174,582,605,146.340,148.633,0.894,2.000,1.000,1.567,TP hit
0.173,606,625,149.050,148.134,1.000,2.000,1.000,-0.615,SL hit
0.174,626,628,147.980,146.967,1.188,2.000,1.000,-0.684,SL hit
0.170,629,634,146.040,148.483,1.331,2.000,1.000,1.673,TP hit
0.172,635,647,149.530,152.136,1.239,2.000,1.000,1.743,TP hit
0.194,648,650,152.460,151.189,1.342,2.000,1.000,-0.834,SL hit
0.174,651,652,151.050,149.616,1.444,2.000,1.000,-0.949,SL hit
0.178,653,653,149.580,148.113,1.467,2.000,1.000,-0.981,SL hit
0.177,654,656,148.080,146.583,1.220,2.000,1.000,-1.011,SL hit
0.170,657,688,146.030,148.434,0.828,2.000,1.000,1.646,TP hit
0.171,689,700,148.630,147.789,0.951,2.000,1.000,-0.566,SL hit
0.178,701,710,147.430,149.410,1.063,2.000,1.000,1.343,TP hit
0.174,711,716,149.590,148.416,1.140,2.000,1.000,-0.785,SL hit
0.174,717,747,146.530,145.416,1.330,2.000,1.000,-0.760,SL hit
0.174,748,748,144.820,143.466,1.354,2.000,1.000,-0.935,SL hit
0.171,749,749,143.100,141.726,1.374,2.000,1.000,-0.960,SL hit
0.169,750,757,140.690,143.576,1.523,2.000,1.000,2.051,TP hit
0.172,758,768,144.690,147.399,1.009,2.000,1.000,1.872,TP hit
0.181,769,785,147.840,149.766,0.849,2.000,1.000,1.303,TP hit
0.181,786,790,149.800,151.540,0.888,2.000,1.000,1.162,TP hit
0.191,791,797,152.070,151.195,1.110,2.000,1.000,-0.575,SL hit
0.180,798,799,150.620,152.843,1.126,2.000,1.000,1.476,TP hit
0.184,800,801,153.010,151.872,1.156,2.000,1.000,-0.744,SL hit
0.181,802,806,151.800,150.589,1.133,2.000,1.000,-0.798,SL hit
0.175,807,830,150.540,149.495,0.767,2.000,1.000,-0.694,SL hit
0.177,831,833,149.470,148.714,0.747,2.000,1.000,-0.506,SL hit
0.170,834,838,148.520,149.993,0.809,2.000,1.000,0.992,TP hit
0.168,839,856,150.110,149.283,0.996,2.000,1.000,-0.551,SL hit
0.176,857,861,148.750,147.865,0.717,2.000,1.000,-0.595,SL hit
0.167,862,887,147.690,146.981,0.542,2.000,1.000,-0.480,SL hit
0.173,888,891,146.780,147.864,0.541,2.000,1.000,0.739,TP hit
0.167,892,899,148.090,147.545,0.684,2.000,1.000,-0.368,SL hit
0.164,900,900,147.380,146.697,0.683,2.000,1.000,-0.463,SL hit
0.170,901,908,146.450,147.821,0.659,2.000,1.000,0.936,TP hit
0.174,909,912,147.880,147.294,0.629,2.000,1.000,-0.397,SL hit
0.163,913,920,146.760,146.128,0.736,2.000,1.000,-0.431,SL hit
0.171,921,931,146.100,145.355,0.601,2.000,1.000,-0.510,SL hit
0.165,932,944,145.320,146.517,0.665,2.000,1.000,0.824,TP hit
0.172,945,952,147.060,146.390,0.701,2.000,1.000,-0.456,SL hit
0.174,953,959,146.370,145.638,0.914,2.000,1.000,-0.500,SL hit
0.177,960,960,145.160,144.233,0.927,2.000,1.000,-0.639,SL hit
0.173,961,971,143.990,146.091,0.877,2.000,1.000,1.459,TP hit
0.169,972,982,146.320,145.459,0.784,2.000,1.000,-0.588,SL hit
0.174,983,983,145.000,144.210,0.790,2.000,1.000,-0.545,SL hit
0.176,984,998,144.190,145.929,0.898,2.000,1.000,1.206,TP hit
0.172,999,1013,146.000,145.084,0.791,2.000,1.000,-0.628,SL hit
0.176,1014,1014,144.750,143.999,0.751,2.000,1.000,-0.519,SL hit
0.174,1015,1031,143.920,143.159,0.872,2.000,1.000,-0.529,SL hit
0.175,1032,1036,143.090,142.164,1.069,2.000,1.000,-0.647,SL hit
0.168,1037,1046,141.760,143.967,1.111,2.000,1.000,1.557,TP hit
0.167,1047,1052,144.710,143.670,1.043,2.000,1.000,-0.719,SL hit
0.172,1053,1054,143.570,145.776,1.100,2.000,1.000,1.536,TP hit
0.177,1055,1058,146.580,148.727,1.180,2.000,1.000,1.465,TP hit
0.187,1059,1063,148.740,147.517,1.012,2.000,1.000,-0.822,SL hit
0.180,1064,1069,146.770,145.771,0.780,2.000,1.000,-0.681,SL hit
0.174,1070,1073,145.550,147.074,0.606,2.000,1.000,1.047,TP hit
0.178,1074,1084,147.270,146.661,0.716,2.000,1.000,-0.414,SL hit
0.172,1085,1089,146.480,145.762,0.976,2.000,1.000,-0.490,SL hit
0.178,1090,1107,145.750,147.941,1.010,2.000,1.000,1.504,TP hit
0.183,1108,1114,148.830,150.911,1.025,2.000,1.000,1.399,TP hit
0.190,1115,1116,151.660,150.596,0.982,2.000,1.000,-0.702,SL hit
0.180,1117,1122,150.410,152.287,0.919,2.000,1.000,1.248,TP hit
0.188,1123,1125,152.330,154.160,0.895,2.000,1.000,1.201,TP hit
0.191,1126,1135,154.640,156.563,1.649,2.000,1.000,1.243,TP hit
0.188,1136,1145,157.070,160.507,1.724,2.000,1.000,2.188,TP hit
0.183,1146,1153,160.530,163.523,1.656,2.000,1.000,1.864,TP hit
0.186,1154,1155,164.460,162.800,1.632,2.000,1.000,-1.009,SL hit
0.176,1156,1170,162.390,165.459,2.469,2.000,1.000,1.890,TP hit
0.190,1171,1172,168.110,165.354,2.886,2.000,1.000,-1.639,SL hit
0.178,1173,1175,164.780,170.791,3.094,2.000,1.000,3.648,TP hit
0.185,1176,1182,173.980,170.790,2.996,2.000,1.000,-1.834,SL hit
0.172,1183,1247,168.700,174.806,2.278,2.000,1.000,3.619,TP hit
0.182,1248,1277,174.980,172.466,1.383,2.000,1.000,-1.437,SL hit
0.174,1278,1298,170.930,173.774,1.731,2.000,1.000,1.664,TP hit
0.172,1299,1312,174.840,178.386,2.032,2.000,1.000,2.028,TP hit
0.179,1313,1313,179.330,177.321,2.009,2.000,1.000,-1.120,SL hit
0.174,1314,1333,176.090,174.084,2.764,2.000,1.000,-1.139,SL hit
0.173,1334,1351,172.110,169.609,1.747,2.000,1.000,-1.453,SL hit
0.173,1352,1353,169.010,167.278,1.747,2.000,1.000,-1.025,SL hit
0.170,1354,1358,166.970,170.500,1.649,2.000,1.000,2.114,TP hit
0.171,1359,1367,170.870,173.901,1.309,2.000,1.000,1.774,TP hit
0.179,1368,1378,174.060,176.841,1.732,2.000,1.000,1.598,TP hit
0.181,1379,1385,177.350,181.049,1.786,2.000,1.000,2.085,TP hit
0.190,1386,1398,182.050,180.325,1.756,2.000,1.000,-0.948,SL hit
0.164,1399,1406,179.400,182.947,1.899,2.000,1.000,1.977,TP hit
0.178,1407,1408,183.000,181.261,1.719,2.000,1.000,-0.950,SL hit
0.174,1409,1411,181.190,179.450,1.786,2.000,1.000,-0.960,SL hit
0.169,1412,1426,178.450,176.652,1.771,2.000,1.000,-1.007,SL hit
